S.N.,Event Name,Category,Group,S.N.,Event Name,Category,Group
58,100 BackStroke,Girls,III,,,,
59,200 BackStroke,Men,Senior,,,,
60,200 BackStroke,Women,Senior,,,,
61,100 Freestyle,Boys,IV,,,,
62,100 Freestyle,Girls,IV,,,,
63,200 Butterfly,Boys,I,,,,
64,200 Butterfly,Girls,I,,,,
65,200 Butterfly,Boys,II,,,,
66,200 Butterfly,Girls,II,,,,
67,100 Butterfly,Boys,III,,,,
68,100 Butterfly,Girls,III,,,,
69,200 Butterfly,Men,Senior,,,,
70,200 Butterfly,Women,Senior,,,,
71,200 Breast Stroke,Boys,I,,,,
72,200 Breast Stroke,Girls,I,,,,
73,200 Breast Stroke,Boys,II,,,,
74,200 Breast Stroke,Girls,II,,,,
75,100 Breast Stroke,Boys,III,,,,
76,100 Breast Stroke,Girls,III,,,,
77,200 Breast Stroke,Men,Senior,,,,
78,200 Breast Stroke,Women,Senior,,,,
79,200 Freestyle,Boys,I,,,,
80,200 Freestyle,Girls,I,,,,
81,200 Freestyle,Boys,II,,,,
82,200 Freestyle,Girls,II,,,,
83,200 Freestyle,Men,Senior,,,,
84,200 Freestyle,Women,Senior,,,,
85,100 Butterfly,Boys,I,,,,
86,100 Butterfly,Girls,I,,,,
87,100 Butterfly,Boys,II,,,,
88,100 Butterfly,Girls,II,,,,
89,100 Butterfly,Men,Senior,,,,
90,100 Butterfly,Women,Senior,,,,
91,100 Breast Stroke,Boys,I,,,,
92,100 Breast Stroke,Girls,I,,,,
93,100 Breast Stroke,Boys,II,,,,
94,100 Breast Stroke,Girls,II,,,,
95,100 Breast Stroke,Men,Senior,,,,
96,100 Breast Stroke,Women,Senior,,,,
97,100 Freestyle,Boys,I,,,,
98,100 Freestyle,Girls,I,,,,
99,100 Freestyle,Boys,II,,,,
100,100 Freestyle,Girls,II,,,,
101,100 Freestyle,Boys,III,,,,
102,100 Freestyle,Girls,III,,,,
103,100 Freestyle,Men,Senior,,,,
104,100 Freestyle,Women,Senior,,,,
105,100 BackStroke,Boys,I,,,,
106,100 BackStroke,Girls,I,,,,
107,100 BackStroke,Boys,II,,,,
108,100 BackStroke,Girls,II,,,,
109,100 BackStroke,Men,Senior,,,,
110,100 BackStroke,Women,Senior,,,,
111,400 Individual Medley (I.M.),Boys,I,,,,
112,400 Individual Medley (I.M.),Girls,I,,,,
113,400 Individual Medley (I.M.),Boys,II,,,,
114,400 Individual Medley (I.M.),Girls,II,,,,
115,400 Individual Medley (I.M.),Men,Senior,,,,
116,400 Individual Medley (I.M.),Women,Senior,,,,
117,50 Butterfly,Boys,I,,,,
118,50 Butterfly,Girls,I,,,,
119,50 Butterfly,Boys,II,,,,
120,50 Butterfly,Girls,II,,,,
121,50 Butterfly,Boys,III,,,,
122,50 Butterfly,Girls,III,,,,
123,50 Butterfly,Boys,IV,,,,
124,50 Butterfly,Girls,IV,,,,
125,50 Butterfly,Men,Senior,,,,
126,50 Butterfly,Women,Senior,,,,
127,50 BackStroke,Boys,I,,,,
128,50 BackStroke,Girls,I,,,,
129,50 BackStroke,Boys,II,,,,
130,50 BackStroke,Girls,II,,,,
131,50 BackStroke,Boys,III,,,,
132,50 BackStroke,Girls,III,,,,
133,50 BackStroke,Boys,IV,,,,
134,50 BackStroke,Girls,IV,,,,
135,50 BackStroke,Men,Senior,,,,
136,50 BackStroke,Women,Senior,,,,
